Processo,Parlamentar,Parlamentar 2,Parlamentar 3,Proposta,Tipo de recurso,Tipo,Ano,Objeto,Ação,Forma de Execução,Local de Execução,Diretoria,DATA DO REPASSE,Valor da Emenda,Valor Empenhado,Valor Pago,Percentual do Valor empenhado pago,Situação no FNS,Observação
00045.019677/2026-05,SEM PROPONENTE,,,63000745434202600,PROGRAMA,CUSTEO MAC,2026,"REDE ALYNE - AQUISIÇÃO DE MATERIAL DE CONSUMO PARA ASSISTÊNCIA (EPI, KITS PARTO) E AQUISIÇÃO DE REFEIÇÃO HOSPITALAR PARA AS MATERNIDADES.","AÇÃO 1: III - REDE ALYNE, Parto e Nascimento Baixo Risco R$ 2.500.035,00: MATERIAL DE CONSUMO
",DIRETA,"MATERNIDADE WALL FERRAZ, MATERNIDADE DO PROMORAR, MATERNIDADE SATÉLITE, MATERNIDADE DO BUENOS AIRES.",DAE,07/05/2026,"R$ 5.000.035,00","R$ 0,00","R$ 0,00","0,00%",PROPOSTA PAGA,"AÇÃO (CUSTEIO):Material de consumo para assistência (EPI, kits parto): R$ 2.500.035,00 para as 04 maternidades municipais de Teresina (CIAMCA; Buenos Aires, Satélite e PromorarÀ DAE, EM 24/06 COM INDICAÇÃO DE INTENS DE CONTRATOS VIGENTES. APOSTILAMENTOS ENVIADO PARA O GAB-PRES-FMS PARA ASSINATURA"
00045.019677/2026-05,SEM PROPONENTE,,,63000745434202600,PROGRAMA,CUSTEO MAC,2026,"REDE ALYNE - AQUISIÇÃO DE MATERIAL DE CONSUMO PARA ASSISTÊNCIA (EPI, KITS PARTO) E AQUISIÇÃO DE REFEIÇÃO HOSPITALAR PARA AS MATERNIDADES.","AÇÃO 2: VI - CUSTEIO DE OUTRAS AÇÕES DA MÉDIA E ALTA COMPLEXIDADE: Média Complexidade (R$ 2.500.000,00): OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA: Aquisição de refeições hospitalares para as maternidades",DIRETA,"MATERNIDADE WALL FERRAZ, MATERNIDADE DO PROMORAR, MATERNIDADE SATÉLITE, MATERNIDADE DO BUENOS AIRES.",DAE,07/05/2026,"R$ 5.000.035,00","R$ 0,00","R$ 0,00","0,00%",PROPOSTA PAGA,"AÇÃO REFEIÇÃO PARA AS MATERNIDADES: R$ 2.500.000,00: GERÊNCIA DE NUTRIÇÃO INDICOU CONTRARTO 230/2026 EM 02/06/2026"
00045.019684/2026-10,SEM PROPONENTE,,,63000745805202600,PROGRAMA,CUSTEO MAC,2026,SERVIÇO DE ATENÇÃO Á SAÚDE DA PESSOA ESTOMIZADA ( SASPO) E OCI CARDIOLOGIA E ORTOPEDIA NO ÂMBITO DAS UNIDADES SAÚDE PRÓPRIA DA FMS.,"AÇÃO 1: AÇÃO:(CONSUMO) Outros - Apresentar Justificativa 2.500.000,00. ",DIRETA,"CISLA, MONTE CASTELO, PRIMAVERA, PROMORAR E SATELITE",DAE,07/05/2026,"R$ 5.000.000,00","R$ 0,00","R$ 0,00","0,00%",PROPOSTA PAGA,CONTRATOS APOSTILADOS E ENVIADOS PARA GAH SOLICITAR EMPENHO. 
00045.019684/2026-10,SEM PROPONENTE,,,63000745805202600,PROGRAMA,CUSTEO MAC,2026,SERVIÇO DE ATENÇÃO Á SAÚDE DA PESSOA ESTOMIZADA ( SASPO) E OCI CARDIOLOGIA E ORTOPEDIA NO ÂMBITO DAS UNIDADES SAÚDE PRÓPRIA DA FMS.,"AÇÃ0 2: AÇÃO: OCI em Cardiologia,  OCI em Ortopedia: Contrato 56/2025 Central de Laudos  ",DIRETA,"CISLA, MONTE CASTELO, PRIMAVERA, PROMORAR E SATELITE",DAE,07/05/2026,"R$ 5.000.000,00","R$ 140.400,00","R$ 0,00","0,00%",PROPOSTA PAGA," SOLICITAÇÃO DE EMPENHOS DE LOCAÇÃO, EMPENHO 5699/2026 EMITIDO."
00045.036087/2026-31,CASTRO NETO,,,36000791774202600,EMENDA BANCADA DO PIAUÍ,INCREMENTO MAC,2026,AQUISIÇÃO DE MEDICAMENTOS ADMINISTRADOS NO ÂMBITO DOS LEITOS DE  SAÚDE MENTAL DO CAPS III E SERVIÇOS DE MANUTENÇÃO PREDIAL DOS CAPS.,"AÇÃO 1  : MATERIAL DE CONSUMO R$ 150.000,00 ",DIRETA,CAPS III,DAE,,"R$ 500.000,00","R$ 0,00","R$ 0,00","0,00%",PROPOSTA PAGA,
00045.041196/2026-22,CASTRO NETO,,,36000791774202600,EMENDA BANCADA DO PIAUÍ,INCREMENTO MAC,2026,AQUISIÇÃO DE MEDICAMENTOS ADMINISTRADOS NO ÂMBITO DOS LEITOS DE  SAÚDE MENTAL DO CAPS III E SERVIÇOS DE MANUTENÇÃO PREDIAL DOS CAPS.,"AÇÃO 2: OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA Valor 350.000,00",DIRETA,CAPS III,DAE,-,"R$ 500.000,00","R$ 350.000,00 ","R$ 0,00","0,00%",PROPOSTA PAGA,Empenho emitido
00045.039654/2026-43,MARCELO CASTRO,,,36000791693202600,EMENDA DA COMISSÃO DE ASSUNTOS SOCIAIS - CAS,INCREMENTO MAC,2026,"OUTRAS AÇÕES DA MÉDIA E ALTA COMPLEXIDADE . Média Complexidade R$ 2.800.000,00 SAÚDE MENTAL. R$ CAPS - Centro de Atenção Psicossocial 1.200.000,00",,DIRETA,DAE,DAE,-,"R$ 4.000.000,00","R$ 0,00","R$ 0,00","0,00%",PROPOSTA EMPENHADA AGUARDANDO FORMALIZAÇÃO,Aguardando GEAFA pedir novamente empenho
00045.037604/2026-06,FLORENTINO NETO,,,6000803219202600,EMENDA DA COMISSÃO DE SAÚDE,INCREMENTO MAC,2026,"Manutenção Predial (Hospital Geral Promorar e Hospital Buenos Aires) e Combustível  (SAMU). OUTRAS AÇÕES DA MÉDIA E ALTA COMPLEXIDADE Média Complexidade R$ 1.400.000,00 URGÊNCIA E EMERGÊNCIA SAMU - Serviço de Atendimento Móvel de Urgência R$ 600.000,00",AÇÃO 1: Manutenção Predial,DIRETA,"HOSP. PROMORAR , HOSP.  BUENOS AISRES E SAMU",DAE,-,"R$ 2.000.000,00",,,,PROPOSTA PAGA,"AÇÃO: OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA (1.400.000,00) FOI ENVIADO PARA GEA PARA  solicitação de emissão de Nota de Empenho vinculado à presente proposta, neste processo."
00045.037604/2026-06,FLORENTINO NETO,,,6000803219202600,EMENDA DA COMISSÃO DE SAÚDE,INCREMENTO MAC,2026,"Manutenção Predial (Hospital Geral Promorar e Hospital Buenos Aires) e Combustível  (SAMU) OUTRAS AÇÕES DA MÉDIA E ALTA COMPLEXIDADE Média Complexidade R$ 1.400.000,00 URGÊNCIA E EMERGÊNCIA SAMU - Serviço de Atendimento Móvel de Urgência R$ 600.000,00",Ação 2: Combustível SAMU,DIRETA,"HOSP. PROMORAR , HOSP.  BUENOS AISRES E SAMU",DAE,,"R$ 2.000.000,00",,,,,"AÇÕA: EM 27/07/2026:  DAF ENVIOU PROCESSO PARA CMV MATERIAL DE CONSUMO (600.000,00) ENVIADO PARA AQUISIÇÃO DE COMBUSTIVEL PARA O SAMU FOI ENVIADO PARA O CMV. "
00045.030344/2026-86,JADYEL ALENCAR,,,11273170000126001,EMENDA DA COMISSÃO DE SAÚDE,EQUIPAMENTO,2026, AQUISIÇÃO DE COMPUTARES PARA HOSPITAIS DA REDE DA FMS.,,DIRETA,"HOSP. MONTE CASTELO, CIAMCA, BUENOS AIRES, PROMORAR, SATÉLITE, MARIANO C. BRANCO,",DAE,,"R$ 1.313.280,00",,,,Proposta Classificada aguardando autorização Secretaria,
00045.004263/2026-53,MERLONG SOLANO,,,36000757587202600,EMENDA INDIVIDUAL,INCREMENTO MAC,2026,CUSTEIO DA MANUTENÇÃO DE EQUIPAMENTOS MÉDICO-HOSPITALARES DE ALTA COMPLEXIDADE VINCULADOS A UM CENTRO DE ASSISTÊNCIA DE ALTA COMPLEXIDADE EM ONCOLOGIA (CACON).,,INDIRETA,HOSPITAL SÃO MARCOS,DRCAA,,"R$ 500.000,00","R$ 0,00","R$ 0,00","0,00%",PROPOSTA PAGA,EMPENHO CANCELADO CONSIDERANDO A NECESSIDDE DE TERMO ADITIVO PARA O REPASSE SER REALIZADO PARA A OSC
00045.014777/2026-94,CIB 98/2022,,,,,,2026,MUDANÇA DE OBJETO PARA ESTRUTURAÇÃO E REFORMA DO CENTRO DE CONTROLE DE ZOONESES,,DIRETA,ZOONOSES,DVS,,"R$ 1.500.000,00",,,,,
