Processo,Parlamentar,Parlamentar 2,Parlamentar 3,Proposta,Tipo de recurso,Tipo,Ano,Objeto,Ação,Forma de Execução,Local de Execução,Diretoria,DATA DO REPASSE,Valor da Emenda,Valor Empenhado,Valor Pago,Percentual do Valor empenhado pago,Situação no FNS,Observação
00045.057015/2025-03, MARCELO CASTRO ,JUSSARA LIMA,,36000704509202500,EMENDA DA COMISSÃO DE ASSUNTOS SOCIAIS - CAS,INCREMENTO MAC,2025,"PROGRAMA MAIS ACESSO A ESPECIALISTA – PMAE,  OCI em Ortopedia (R$ 1.250.000,00) OCI em Cardiologia (R$ 1.250.000,00)  REDE ALYNE Valor Parto e Nascimento Baixo Risco (R$ 2.500.000,00)","AÇÃO 2: OCI ORTOPEDIA – R$ 1.250.000,00, a) Utilizar no contrato da Central de Laudos para custeio de locação de equipamentos de imagem - Contrato 56/2025, b) Utilizar o restante do saldo no contrato de empenho da All Med (manutenção) - Contrato nº 295/2024, c) Serviço de Metalurgia - Ferri Costa - Contrato nº 92/2020",DIRETA,"DAE/FMS -  REDE HOSPITALARES: US DIRCEU II US SATÉLITE, US BUENOS AIRES, US PROMORAR E MATERNIDADE WALL FERRAZ.",DAE,27/11/2025,"R$ 5.000.000,00","R$ 1.250.000,00","R$ 21.710,00","1,74%",APROVADA COM REPASSE,"EM EXECUÇÃO, COM EMPENHOS EMITIDOS, ALGUNS PAGOS TOTALMENTE, OUTROS PARCIALMENTE E OUTTROS AINDA SEM PAGAMENTO."
00045.057015/2025-03, MARCELO CASTRO ,JUSSARA LIMA,,36000704509202500,EMENDA DA COMISSÃO DE ASSUNTOS SOCIAIS - CAS,INCREMENTO MAC,2025,"PROGRAMA MAIS ACESSO A ESPECIALISTA – PMAE,  OCI em Ortopedia (R$ 1.250.000,00) OCI em Cardiologia (R$ 1.250.000,00)  REDE ALYNE Valor Parto e Nascimento Baixo Risco (R$ 2.500.000,00)","AÇÃO 3: MATERNIDADES – R$ 2.500.000,00",DIRETA,"DAE/FMS -  REDE HOSPITALARES: US DIRCEU II US SATÉLITE, US BUENOS AIRES, US PROMORAR E MATERNIDADE WALL FERRAZ.",DAE,27/11/2025,"R$ 5.000.000,00","R$ 2.499.050,29",,,APROVADA COM REPASSE,"EM EXECUÇÃO, COM EMPENHOS EMITIDOS, ALGUNS PAGOS TOTALMENTE, OUTROS PARCIALMENTE E OUTTROS AINDA SEM PAGAMENTO."
00045.077261/2025-53,CASTRO NETO,,,36000724112202500,EMENDA BANCADA DO PIAUÍ,INCREMENTO MAC,2025,"REDE ALYNE UNID NEONATAIS MANUTENÇÃO PREDIAL, REFORMA UTIN/UCINCO - MAT WALL FERRAZ","AÇÃO 1: OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA (328.600,00)
",DIRETA,DAE/FMS -  US MATERNIDADE WALL FERRAZ,DAE,13/02/2026,"R$ 159.632,00","R$ 156.632,00","R$ 0,00","0,00%",APROVADA COM REPASSE,Empenho realizado em 02/09/2026
00045.033619/2025-31,SEM PROPONENTE,,,63000643741202500,PROGRAMA,CUSTEIO MAC,2025,"ESTRUTURAÇÃO DO CENTRO CIRÚRGICO DO HOSPITAL DIRCEU, E SERVIÇOS PARA REDUÇÃO FILAS DE ESPERA POR CIRURGIAS, ORTO E GINECO. II - PMAE COMPONENTE CIRURGIA - (PNRF/MUTIRÃO) Outras Cirurgias - Média Complexidade (R$ 1.205.000,00), VI - CUSTEIO DE SERVIÇOS DA MÉDIA E ALTA COMPLEXIDADE - MANUTENÇÃO Rede de Urgência (R$ 2.205.000,00)  II - PMAE COMPONENTE CIRURGIA - (PNRF/MUTIRÃO),  Ortopédia - Média Complexidade (R$ 500.000,00),  Ginecologia - Média Complexidade R$ 500.000,00.  MATERIAL DE CONSUMO R$ 3.205.000,00 E OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA R$ 1.205.000,00. PROPOSTA FOI ALTERADA E POSSUI A Errata ao Plano de trabalho SEI 14133839 (15462178) EM 26/05/2026: MATERIAL DE CONSUMO: R$ 1.705.000,00. OUTROS SERVIÇOS DE TERCEIROS – PESSOA JURÍDICA: R$2.205.000,00, OUTRAS DESPESAS VARIÁVEIS - PESSOAL CIVIL: R$ 4.410.000,00","AÇÃO 1: MATERIAL DE CONSUMO: R$ 1.705,00",DIRETA,DAE/FMS - US DIRCEU II,DAE,08/04/2026,"R$ 4.410.000,00","R$ 0,00","R$ 0,00",,PROPOSTA PAGA,Foram empenhados alguns valores. Aguarda assinatura de termo de aditivo de contrato para execução da parte restante.
00045.033619/2025-31,SEM PROPONENTE,,,63000643741202500,PROGRAMA,CUSTEIO MAC,2025,"ESTRUTURAÇÃO DO CENTRO CIRÚRGICO DO HOSPITAL DIRCEU, E SERVIÇOS PARA REDUÇÃO FILAS DE ESPERA POR CIRURGIAS, ORTO E GINECO. II - PMAE COMPONENTE CIRURGIA - (PNRF/MUTIRÃO) Outras Cirurgias - Média Complexidade (R$ 1.205.000,00), VI - CUSTEIO DE SERVIÇOS DA MÉDIA E ALTA COMPLEXIDADE - MANUTENÇÃO Rede de Urgência (R$ 2.205.000,00)  II - PMAE COMPONENTE CIRURGIA - (PNRF/MUTIRÃO),  Ortopédia - Média Complexidade (R$ 500.000,00),  Ginecologia - Média Complexidade R$ 500.000,00. MATERIAL DE CONSUMO R$ 3.205.000,00 E OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA R$ 1.205.000,00. PROPOSTA FOI ALTERADA E POSSUI A Errata ao Plano de trabalho SEI 14133839 (15462178) EM 26/05/2026: MATERIAL DE CONSUMO: R$ 1.705.000,00. OUTROS SERVIÇOS DE TERCEIROS – PESSOA JURÍDICA: R$2.205.000,00, OUTRAS DESPESAS VARIÁVEIS - PESSOAL CIVIL: R$ 4.410.000,00","AÇÃO 2:  OUTROS SERVIÇOS DE TERCEIROS – PESSOA JURÍDICA: R$ 2.205.000,00",DIRETA,DAE/FMS - US DIRCEU II,DAE,08/04/2026,"R$ 4.410.000,00","R$ 2.205.000,00",,,PROPOSTA PAGA,Foram empenhados alguns valores. Aguarda assinatura de termo de aditivo de contrato para execução da parte restante.
00045.033619/2025-31,SEM PROPONENTE,,,63000643741202500,PROGRAMA,CUSTEIO MAC,2025,"ESTRUTURAÇÃO DO CENTRO CIRÚRGICO DO HOSPITAL DIRCEU, E SERVIÇOS PARA REDUÇÃO FILAS DE ESPERA POR CIRURGIAS, ORTO E GINECO. II - PMAE COMPONENTE CIRURGIA - (PNRF/MUTIRÃO) Outras Cirurgias - Média Complexidade (R$ 1.205.000,00), VI - CUSTEIO DE SERVIÇOS DA MÉDIA E ALTA COMPLEXIDADE - MANUTENÇÃO Rede de Urgência (R$ 2.205.000,00)  II - PMAE COMPONENTE CIRURGIA - (PNRF/MUTIRÃO),  Ortopédia - Média Complexidade (R$ 500.000,00),  Ginecologia - Média Complexidade R$ 500.000,00. MATERIAL DE CONSUMO R$ 3.205.000,00 E OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA R$ 1.205.000,00. PROPOSTA FOI ALTERADA E POSSUI A Errata ao Plano de trabalho SEI 14133839 (15462178) EM 26/05/2026: MATERIAL DE CONSUMO: R$ 1.705.000,00. OUTROS SERVIÇOS DE TERCEIROS – PESSOA JURÍDICA: R$2.205.000,00, OUTRAS DESPESAS VARIÁVEIS - PESSOAL CIVIL: R$ 4.410.000,00","OUTRAS DESPESAS VARIÁVEIS - PESSOAL CIVIL: R$ 500.000,00",DIRETA,DAE/FMS - US DIRCEU II,DAE,08/04/2026,"R$ 4.410.000,00",,,,PROPOSTA PAGA,Foram empenhados alguns valores. Aguarda assinatura de termo de aditivo de contrato para execução da parte restante.
00045.076240/2025-72,SEM PROPONENTE,,,63000723706202500,PROGRAMA,CUSTEIO MAC,2025,"VI - CUSTEIO DE SERVIÇOS DA MÉDIA E ALTA COMPLEXIDADE - MANUTENÇÃO Rede de Urgência R$ 7.500.000,00 , II - PMAE COMPONENTE CIRURGIA - (PNRF/MUTIRÃO) Ortopédia - Baixa Complexidade R$ 2.500.000,00,  Ortopédia - Média Complexidade R$ 3.000.000,00, Outras Cirurgias - Baixa Complexidade R$  2.000.000,00. procedimentos cirúrgicos especializados, com ênfase em cirurgias ortopédicas, destinadas a pacientes internados nas Unidades de Pronto Atendimento (UPAs), Hospitais Municipais e no Hospital de Urgência de Teresina (HUT), visando à desospitalização segura, liberação de leitos e ampliação do acesso oportuno à atenção especializada, conforme diretrizes do Programa Mais Acesso a Especialistas (PMAE)","AÇÃO 1: OUTROS SERVICOS DE TERCEIROS-PESSOA JURIDICA: R$ 9.000.000,00",DIRETA,"DAE/FMS UPAS, HOSPITAIS MUNICIPAIS E HUT",DAE,,"R$ 15.000.000,00","R$ 0,00","R$ 0,00","0,00%",EMPENHADA AGUARDANDO FORMALIZAÇÃO,FUNDO - PARA MONITORAMENTO DA HOMOLOGAÇÃO E DO REPASSE PELO FUNDO NACIONAL DE SAÚDE.
00045.076240/2025-72,SEM PROPONENTE,,,63000723706202500,PROGRAMA,CUSTEIO MAC,2025,"VI - CUSTEIO DE SERVIÇOS DA MÉDIA E ALTA COMPLEXIDADE - MANUTENÇÃO Rede de Urgência R$ 7.500.000,00 , II - PMAE COMPONENTE CIRURGIA - (PNRF/MUTIRÃO) Ortopédia - Baixa Complexidade R$ 2.500.000,00,  Ortopédia - Média Complexidade R$ 3.000.000,00, Outras Cirurgias - Baixa Complexidade R$  2.000.000,00. procedimentos cirúrgicos especializados, com ênfase em cirurgias ortopédicas, destinadas a pacientes internados nas Unidades de Pronto Atendimento (UPAs), Hospitais Municipais e no Hospital de Urgência de Teresina (HUT), visando à desospitalização segura, liberação de leitos e ampliação do acesso oportuno à atenção especializada, conforme diretrizes do Programa Mais Acesso a Especialistas (PMAE)","AÇÃO 2: MATERIAL DE CONSUMO R$ 4.000.000,00",DIRETA,"DAE/FMS UPAS, HOSPITAIS MUNICIPAIS E HUT",DAE,,"R$ 15.000.000,00","R$ 0,00","R$ 0,00","0,00%",EMPENHADA AGUARDANDO FORMALIZAÇÃO,
00045.076240/2025-72,SEM PROPONENTE,,,63000723706202500,PROGRAMA,CUSTEIO MAC,2025,"VI - CUSTEIO DE SERVIÇOS DA MÉDIA E ALTA COMPLEXIDADE - MANUTENÇÃO Rede de Urgência R$ 7.500.000,00 , II - PMAE COMPONENTE CIRURGIA - (PNRF/MUTIRÃO) Ortopédia - Baixa Complexidade R$ 2.500.000,00,  Ortopédia - Média Complexidade R$ 3.000.000,00, Outras Cirurgias - Baixa Complexidade R$  2.000.000,00. procedimentos cirúrgicos especializados, com ênfase em cirurgias ortopédicas, destinadas a pacientes internados nas Unidades de Pronto Atendimento (UPAs), Hospitais Municipais e no Hospital de Urgência de Teresina (HUT), visando à desospitalização segura, liberação de leitos e ampliação do acesso oportuno à atenção especializada, conforme diretrizes do Programa Mais Acesso a Especialistas (PMAE)","AÇÃO 3: LOCACAO DE MAO-DE-OBRA R$2.000.000,00",DIRETA,"DAE/FMS UPAS, HOSPITAIS MUNICIPAIS E HUT",DAE,,"R$ 15.000.000,00","R$ 0,00","R$ 0,00","0,00%",EMPENHADA AGUARDANDO FORMALIZAÇÃO,
00045.077215/2025-34,JÚLIO CESAR,,,63000723855202500,PROGRAMA,CUSTEIO MAC,2025,MANUTENÇÃO PREDIAL DAS UNIDADES DE SAÚDE  - PMAE: OCI EM CARDIOLOGIA OCI EM OTORRINOLARINGOLOGIA- US DIRCEU II; US MONTE CASTELO; US PROMORAR; US SATÉLITE E OCI EM OTORRINOLARINGOLOGIA CENTRO INTEGRADO DE SAUDE LINEU ARAUJO,"AÇÃO 1: MANUTENÇÃO PREDIAL, outro serviços de pessoas jurídica: (R$ 2.750.000,00)Hospital da Primavera, Centro Integrado de Saúde Lineu Araújo (CISLA),Hospital do Monte Castelo,Hospital Pediátrico do Parque Piauí. UPA do Promorar,UPA Renascença,Casa de Resíduos do Hospital Dr. Ozéas Sampaio",DIRETA,"DAE/FMS - US DIRCEU II; US MONTE CASTELO; US PROMORAR; US SATÉLITE, LINEU ARAÚJO",DAE,23/04/2026,"R$ 5.500.035,00","R$ 400.000,00","R$ 0,00","0,00%",APROVADA COM REPASSE,"PROCESSO 00045.034806/2026-86 gea indicou o contrato 356/2026 e solicitou o empenho de 400.000,00.  GEA emitiu ordem de serviço para HOSPITAL PROMORAR, LINEU ARAUJO, MONTE CASTELO, PARQUE PIAUÍ, UPA PROMORAR, UPA RENASCENÇA, HOSPITAL OZEAS SAMPAIO . EM RELAÇÃO ÀS OCI AGUARDANDO A DIRETORIA DO CISLA ENVIAR A DEMANDA DE OTORRINOLARINGOLOGIA: AGUARDANDO DEFINIÇÃO DA DAE"
